fold,alpha,qbuf,tau_val,theta,delta,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,Gate_CAGR_CI_low,Gate_CAGR_CI_high,Gate_MDD_CI_low,Gate_MDD_CI_high,accepted,skipped,days,status,Gate_Calmar_eps,Rand_Calmar_eps,All_Calmar_eps
1,0.9,0.0,0.04915369603444821,0.001,0.0,0.2953251959668919,0.03342433869963912,8.83563317798956,0.28424348414375067,0.043070707822411625,6.59946164144175,0.3153797535468348,0.0430707078224114,7.322372198924722,-0.056902865417683676,0.059391566173425184,0.04518200678699244,0.12306372544475397,23.0,330.0,259.0,ok,8.336787835926502,6.306612384782855,6.997443989331186
2,0.9,0.0,,,,,,,,,,,,,,,,,,,,no_feasible_on_val,,,
3,0.9,0.0,0.05828253800027143,0.001,0.0,0.05524276259190408,0.08508559071969757,0.6492610808085418,0.05138463494457879,0.08057946828080409,0.6376889304545065,0.04186681624657895,0.08037399055004824,0.5209000568474801,-0.013131503108553131,0.03560604608231231,0.05089699418672348,0.107141632955568,27.0,337.0,258.0,ok,0.6343502080581159,0.6222446815696359,0.508252859513244
4,0.9,0.0,0.042833887918865596,0.001,0.0,0.24201154755534415,0.012076523945975137,20.03983502521036,0.21733879897050068,0.03905550777237188,5.564869370978901,0.24297250747368238,0.03905550777237188,6.221209794270367,-0.012682984271238484,0.04362576945907077,0.038274614872875416,0.09491957601778267,31.0,460.0,248.0,ok,17.192564619231998,5.293779343212943,5.918146447507578
5,0.9,0.0,,,,,,,,,,,,,,,,,,,,no_feasible_on_val,,,
6,0.9,0.0,0.04272472690083928,0.001,0.0,0.6233687073001031,0.016027073564830352,38.89473051824115,0.6611733591430333,0.01732924614642295,38.153613466879555,0.6525751641889506,0.03626392415806978,17.995161288791014,-0.01724923303672221,0.052252140457967604,0.05459452754075175,0.11272557866349178,24.0,421.0,258.0,ok,34.5795841492684,34.20585335478225,17.05458022269584
7,0.9,0.0,,,,,,,,,,,,,,,,,,,,no_feasible_on_val,,,
8,0.9,0.0,0.05244692812603189,0.001,0.0,0.3158309655626037,0.04864976142985089,6.491932463389507,0.37879976053162645,0.05789020812192802,6.54341680261022,0.4083046457125832,0.05789020812192802,7.053086505624825,-0.010494564581932365,0.09447455889589088,0.06646854729770592,0.13163541881245816,32.0,375.0,257.0,ok,6.235586440027452,6.324903058617588,6.817552626989248
9,0.9,0.0,0.05225840296436678,0.001,0.0,-0.009202399980203113,0.07096710682402674,-0.1296713420066821,0.2697300535712157,0.09103104077781188,2.9630558023561604,0.02058927518628928,0.12679074944183044,0.16238783410405905,-0.034297250581864835,0.04071979075012954,0.039436627554057954,0.13392071679393674,9.0,68.0,259.0,ok,-0.1261171009890299,2.8993554335849905,0.15986610277152413
10,0.9,0.0,,,,,,,,,,,,,,,,,,,,no_feasible_on_val,,,
11,0.9,0.0,0.041812677917876545,0.001,0.0,0.12999268893377547,0.07132605263655334,1.8225134313286884,0.3110841839633909,0.05201630631320742,5.980512766328503,0.42472375860657285,0.07141492883576839,5.947268526771235,-0.0024794827973587453,0.10439190978004935,0.046711865063981804,0.07452868127825296,20.0,140.0,258.0,ok,1.7728035842607677,5.759079159533874,5.785250566089819
