fold,alpha,qbuf,status,tau_val,theta,delta,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,Gate_CAGR_CI_low,Gate_CAGR_CI_high,Gate_MDD_CI_low,Gate_MDD_CI_high,accepted,skipped,days,Gate_Calmar_eps,Rand_Calmar_eps,All_Calmar_eps
1,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,,,,,
2,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,,,,,
3,0.9,0.0,ok,0.05660796327866849,0.001,0.0,0.10538237840150444,0.09181815282525208,1.147729236091993,0.0819151504484763,0.08057946828080409,1.0165759615466512,0.04186681624657895,0.08037399055004824,0.5209000568474801,-0.013167618545455303,0.03491722983503038,0.04751687869713204,0.11288478931046353,25.0,287.0,258.0,1.1232621324126064,0.9919554116034166,0.508252859513244
4,0.9,0.0,ok,0.04113992586532943,0.002,0.0,0.2420406188468518,0.012076523945975137,20.042242281771742,0.18432005276881092,0.03905550777237188,4.7194381351559365,0.24297250747368238,0.03905550777237188,6.221209794270367,-0.012682984271238484,0.05199205174586582,0.03540960859028214,0.09491957601778267,31.0,415.0,248.0,17.194629851502352,4.489532897528751,5.918146447507578
5,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,,,,,
6,0.9,0.0,ok,0.04272472690083928,0.001,0.0,0.6233687073001031,0.016027073564830352,38.89473051824115,0.6611733591430333,0.01732924614642295,38.153613466879555,0.6525751641889506,0.03626392415806978,17.995161288791014,-0.01724923303672221,0.052252140457967604,0.05459452754075175,0.11272557866349178,24.0,421.0,258.0,34.5795841492684,34.20585335478225,17.05458022269584
7,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,,,,,
8,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,,,,,
9,0.9,0.0,ok,0.05225840296436678,0.001,0.0,-0.009202399980203113,0.07096710682402674,-0.1296713420066821,0.2697300535712157,0.09103104077781188,2.9630558023561604,0.02058927518628928,0.12679074944183044,0.16238783410405905,-0.034297250581864835,0.04071979075012954,0.039436627554057954,0.13392071679393674,9.0,68.0,259.0,-0.1261171009890299,2.8993554335849905,0.15986610277152413
10,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,,,,,
11,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,,,,,
